player_id,year,team,league,W,L,G,GS,IP,SO,BB,HR,CG,SHO,SV,H,ER,R,IBB,WP,HBP,BK,BFP,GF,SH,SF,GIDP
407908,2006,KCA,,1,3,64,0,73.667,57,17,10,0,0,1,74,36,37,2,5,2,0,304,21,1,3,9
407908,2007,KCA,,1,3,62,0,87.667,66,19,9,0,0,1,93,37,39,5,2,2,0,366,18,2,4,8
407908,2008,KCA,,1,2,40,0,52.667,38,14,15,0,0,0,56,35,37,0,1,2,0,224,12,1,3,5
407908,2009,COL,,0,3,27,0,24.667,22,12,3,0,0,0,27,17,17,2,0,3,0,113,6,0,1,2
407908,2010,WAS,,1,0,39,0,49.0,49,9,5,0,0,0,30,11,12,4,0,1,0,189,10,2,1,1
407908,2011,TBA,,3,4,71,0,67.667,61,18,7,0,0,6,44,22,23,3,3,0,0,256,18,2,2,6
407908,2012,TBA,,2,6,77,0,67.0,84,17,9,0,0,2,49,27,28,2,5,1,0,264,9,0,1,1
407908,2013,TBA,,3,8,80,0,71.333,74,34,7,0,0,1,47,27,31,1,1,0,0,291,12,2,0,5
407908,2014,TBA,,3,4,69,0,63.333,74,15,9,0,0,1,60,31,31,1,2,1,0,265,12,2,1,1
407908,2015,LAN,,3,1,33,0,29.0,24,8,6,0,0,3,28,14,14,1,1,0,0,121,7,0,0,1
407908,2016,CHN,,1,1,31,0,27.333,33,8,9,0,0,0,30,18,19,0,0,1,0,119,5,0,1,0
407911,2004,TEX,,5,1,45,0,51.333,60,28,4,0,0,0,36,19,19,2,4,3,1,216,7,2,1,3
407911,2006,TEX,,0,1,8,0,7.333,6,2,2,0,0,0,8,4,4,0,1,0,0,32,2,0,0,0
407911,2007,TEX,,1,1,59,0,59.333,49,38,3,0,0,0,57,30,33,4,8,2,0,268,16,6,1,3
407911,2008,TEX,,3,5,58,0,63.333,83,26,7,0,0,5,47,22,24,2,5,0,0,264,18,0,3,0
